Activity ID	Primary Resource	Activity Name	T+1 Start (BL1)	T+1 Finish (BL1)	T-0 Start (BL0)	T-0 Finish (BL0)
 CMIS C1020	DE10.Richardson-DE	Information Turnover Phase II User Acceptance Test Development	02-Oct-17	27-Feb-18	28-Nov-16	24-Apr-17
 CMMS100	IST.IST	CMMS Web(for ITP and CR upgrade) Training Development	01-Jul-16	07-Nov-16	01-Jul-16	01-Nov-16
 CMMS110	IST.IST	CMMS Web(for ITP and CR Upgrade) Customer Testing/Acceptance	05-Jul-16	07-Nov-16	05-Jul-16	21-Nov-16
 CMMS120	O1.OPs	LOTO Module Testing	01-Aug-16	08-Nov-16	01-Aug-16	01-Dec-16
 CMMS130	J1.OD&P	Condition Report - Module Testing	20-Oct-16	07-Nov-16	20-Oct-16	07-Nov-16
 CMMS150	IST.IST	CMMS Web(for ITP and CR Upgrade) Training	12-Oct-16	21-Nov-16	12-Oct-16	21-Nov-16
 CMMS170	P1.POM	Preventive Maintenance Module Testing	20-Oct-16	03-Nov-16	20-Oct-16	01-Nov-16
 CMMS180	IST.IST	CMMS Web (For ITP and CR Upgrade) Go-Live	28-Nov-16	28-Nov-16	06-Dec-16	06-Dec-16
 CR 15-00604-6	TG.Trn Eng	Develop the necessary qualification cards/TMW's to support accreditation. This action includes inputing them into the	01-Nov-16	21-Dec-16	01-Dec-16	23-Jan-17
 CR 15-00606-2	TEI.Elec Trn Instructor	In conjunction with the electrical maintenance line organization, assist in developing the authorized OJT/TPE/TMW	01-Apr-16	10-Nov-16	01-Apr-16	26-Jan-17
 CR 16-00644es	TG.Trn Eng	Develop Program Descriptions	22-Jul-16	03-Nov-16	22-Jul-16	30-Nov-16
 CR 16-00645es	TG.Trn Eng	Develop and Input Qualification Structure into Plateau Database	29-Jul-16	04-Nov-16	29-Jul-16	30-Nov-16
 DASFEG1010	PSE-34.Dao-PSE FEG	FEG Data Table and Drawing Development	26-Oct-16	08-Nov-16	26-Oct-16	08-Nov-16
 DASFEG1030	DM05.DM Ops	SCE&G Initial Review of FEG Mapping	11-Nov-16	17-Nov-16	28-Dec-16	04-Jan-17
 DASFEG1040	PSE-34.Dao-PSE FEG	FEG Review Comment Incorporation	21-Nov-16	29-Nov-16	06-Jan-17	12-Jan-17
 DASFID130	PSE-36.Yang-PSE ER	SCE&G Component Classification	14-Nov-16	29-Nov-16	29-Dec-16	12-Jan-17
 DASFID147	PSE-36.Yang-PSE ER	SCE&G  Review and Resolve Comments for SNC Component Classification	30-Nov-16	01-Dec-16	13-Jan-17	16-Jan-17
 DASMR1230	PSE-37.Sonnett-PSE PM/MR	SCE&G MR  Expert Panel Review	04-Nov-16	10-Nov-16	11-Nov-16	07-Dec-16
 DASMR1290	PSE-37.Sonnett-PSE PM/MR	SCE&G  MR Expert Panel Meeting	11-Nov-16	11-Nov-16	08-Dec-16	08-Dec-16
 DASMR1330	PSE-37.Sonnett-PSE PM/MR	MR Performance Criteria Expert Panel Comment Resolution	15-Nov-16	21-Nov-16	12-Dec-16	16-Dec-16
 ECSMR1330	PSE-37.Sonnett-PSE PM/MR	MR Performance Criteria Expert Panel Comment Resolution	31-Oct-16	04-Nov-16	31-Oct-16	01-Dec-16
 EDSFEG1030	DM05.DM Ops	SCE&G Initial Review of FEG Mapping	04-Nov-16	10-Nov-16	16-Dec-16	22-Dec-16
 EDSFID130	PSE-36.Yang-PSE ER	SCE&G Component Classification	10-Nov-16	03-Jan-17	10-Nov-16	22-Feb-17
 EDSMR1330	PSE-37.Sonnett-PSE PM/MR	MR Performance Criteria Expert Panel Comment Resolution	26-Oct-16	14-Nov-16	26-Oct-16	16-Dec-16
 ElecTrnT2D-C	TEI.Elec Trn Instructor	Tier 2D -B discipline (class 2) Elec Training Implement	07-Nov-16	10-Mar-17	07-Nov-16	10-Mar-17
 ELSMR1230	PSE-37.Sonnett-PSE PM/MR	SCE&G MR  Expert Panel Review	26-Oct-16	04-Nov-16	26-Oct-16	04-Nov-16
 ELSMR1290	PSE-37.Sonnett-PSE PM/MR	SCE&G  MR Expert Panel Meeting	07-Nov-16	07-Nov-16	11-Nov-16	11-Nov-16
 ELSMR1330	PSE-37.Sonnett-PSE PM/MR	MR Performance Criteria Expert Panel Comment Resolution	08-Nov-16	14-Nov-16	18-Nov-16	01-Dec-16
 EngCT1604c	TG.Trn Eng	CT-Fourth Quarter- Eng Continuing Training	28-Nov-16	02-Dec-16	05-Jan-17	11-Jan-17
 EngCT1604dev	TG.Trn Eng	CT-Fourth Quarter- Eng Continuing Training - dev	01-Nov-16	28-Nov-16	01-Dec-16	05-Jan-17
 EP1042	EP2.EP	Vendor develop multi unit, multi release point Midas (software) upgrade	14-Oct-16	11-Nov-16	14-Oct-16	15-Nov-16
 EP1054	EP2.EP	Validation of WEBEOC boards	20-May-16	03-Nov-16	20-May-16	15-Dec-16
 EP1070	EP2.EP	Develop & Submit TSC HVAC 50.54(q)	14-Nov-16	01-Feb-17	12-Jan-17	27-Mar-17
 EQ-100	PSE22.Garrett-PSE	DAS-VBR-003-EQ VCS Qualification Review	26-Oct-16	14-Dec-16	26-Oct-16	29-Nov-16
 EQ-109	PSE22.Garrett-PSE	DS01-EQ VCS Qualification Review	01-Nov-16	14-Nov-16	01-Nov-16	17-Nov-16
 EQ-134	PSE22.Garrett-PSE	JE52NLI-EQ Qualification Review	28-Oct-16	10-Nov-16	28-Oct-16	05-Dec-16
 EQ-135	PSE22.Garrett-PSE	JE52SMT-EQ Qualification Review	05-Oct-16	18-Nov-16	05-Oct-16	05-Dec-16
 EQ-139	PSE22.Garrett-PSE	JW03-EQ VCS Qualification Review	01-Nov-16	14-Nov-16	01-Nov-16	14-Nov-16
 EQ-142	PSE22.Garrett-PSE	MP01-EQ Qualification Review	05-Oct-16	30-Nov-16	05-Oct-16	03-Jan-17
 EQ-154	PSE22.Garrett-PSE	PV01-EQ Qualification Review	01-Nov-16	14-Nov-16	01-Nov-16	05-Dec-16
 EQ-159	PSE22.Garrett-PSE	PV10-EQ VCS Qualification Review	01-Nov-16	14-Nov-16	01-Nov-16	06-Dec-16
 EQ-160	PSE22.Garrett-PSE	PV11-EQ Qualification Review	05-Oct-16	18-Nov-16	05-Oct-16	05-Dec-16
 EQ-161	PSE22.Garrett-PSE	PV13-EQ Qualification Review	07-Nov-16	18-Nov-16	03-Jan-17	09-Jan-17
 EQ-165	PSE22.Garrett-PSE	PV16-EQ1 Qualification Review	03-Jan-17	16-Jan-17	14-Nov-16	03-Jan-17
 EQ-168	PSE22.Garrett-PSE	PV18-EQ Qualification Review	07-Nov-16	18-Nov-16	14-Nov-16	03-Jan-17
 EQ-169	PSE22.Garrett-PSE	PV20-EQ Qualification Review	05-Oct-16	23-Nov-16	05-Oct-16	03-Jan-17
 EQ-172	PSE22.Garrett-PSE	PV64-EQ Qualification Review	07-Nov-16	18-Nov-16	01-Nov-16	03-Jan-17
 EQ-177	PSE22.Garrett-PSE	PV69-EQ Qualification Review	07-Nov-16	21-Dec-16	07-Nov-16	03-Jan-17
 EQ-178	PSE22.Garrett-PSE	PV70-EQ Qualification Review	05-Oct-16	14-Nov-16	05-Oct-16	03-Jan-17
 EQSSPV1040	PSE-36.Yang-PSE ER	SCE&G Review of SNC SPV Fault Tree	01-Nov-16	02-Nov-16	01-Nov-16	02-Nov-16
 EQSSPV1041	DM05.DM Ops	SCE&G SPV Identification (Fault Tree Analysis)	01-Nov-16	02-Nov-16	01-Nov-16	02-Nov-16
 EQSSPV1070	PSE-36.Yang-PSE ER	SPV Mitigation Strategy Development	15-Nov-16	15-Nov-16	30-Nov-16	30-Nov-16
 EQSSPV1110	PSE-36.Yang-PSE ER	Update Component Classification with New SPV's	11-Nov-16	14-Nov-16	18-Nov-16	29-Nov-16
 FATP-PSO-6	P3.WWM	PSO FATP Revision for Review	01-Nov-16	07-Nov-16	11-Nov-16	17-Nov-16
 FATP-PSO-7	P3.WWM	PSO FATP Revised and Updated	07-Nov-16	14-Nov-16	17-Nov-16	18-Nov-16
 FATP-PSO-8	P3.WWM	PSO FATP Revision to GMOR for Approval	14-Nov-16	14-Nov-16	18-Nov-16	18-Nov-16
 FATP-QS-1	DM06.DM QS	QS FATP Revision for Review	21-Oct-16	17-Nov-16	21-Oct-16	07-Dec-16
 FATP-QS-2	DM06.DM QS	QS FATP Revised and Updated	17-Nov-16	07-Dec-16	07-Dec-16	27-Dec-16
 FPP Assess5	PSE15.Danielsen-PSE	FPP Assessment Team Publish Results	27-Oct-16	04-Nov-16	27-Oct-16	23-Nov-16
 FPP SNM Ready	PSE08.Earnest-PSE	FPP Meets LC 2.d(10)(e).2 Ready for NRC Inspection	18-Nov-16	18-Nov-16	08-Dec-16	08-Dec-16
 FPSFID115	PSE-36.Yang-PSE ER	Load Work-In-Progress Equipment List into Database	01-Nov-16	01-Nov-16	01-Nov-16	01-Nov-16
 FPSMR1230	PSE-37.Sonnett-PSE PM/MR	SCE&G MR  Expert Panel Review	04-Nov-16	10-Nov-16	09-Jan-17	13-Jan-17
 FPSMR1290	PSE-37.Sonnett-PSE PM/MR	SCE&G  MR Expert Panel Meeting	11-Nov-16	11-Nov-16	16-Jan-17	16-Jan-17
 FPSMR1330	PSE-37.Sonnett-PSE PM/MR	MR Performance Criteria Expert Panel Comment Resolution	23-Nov-16	01-Dec-16	18-Jan-17	24-Jan-17
 GENPMOC1020	PSE32.Sonnett-PSE	PMOC Charter Approved through Department Managers(VCB-SAP-0143)	11-Jul-16	01-Nov-16	11-Jul-16	01-Nov-16
 GMP-100.031d	MIR.IC supv	TUBING FABRICATION AND INSTALLATION - Rev00 - Approval	07-Oct-16	17-Nov-16	07-Oct-16	07-Dec-16
 HPCT1602f	TH.Trn HP	CT-Third Quarter - HP Continuing Training	28-Nov-16	05-Dec-16	28-Nov-16	05-Dec-16
 HPCT1701dev	TH.Trn HP	CT-1701- HP Continuing Training - dev	11-Nov-16	13-Jan-17	01-Dec-16	26-Jan-17
 I&CTrnT2D-B	TICI.I&C Trn Instructor	Tier 2D -B discipline (class 2) I&C Training Implement	28-Nov-16	20-Feb-17	28-Nov-16	20-Feb-17
 IAUR-10	DM21.Supv M&T Trn	Ensure Training Program Owners Available as Contacts during Sequester Week	01-Nov-16	10-Nov-16	18-Nov-16	21-Nov-16
 IAUR-11	DM21.Supv M&T Trn	Assign ATV Coordinator	11-Nov-16	14-Nov-16	18-Nov-16	21-Nov-16
 IAUR-12	DM21.Supv M&T Trn	Distribute Final Draft for Final Review and Approval	15-Nov-16	15-Nov-16	18-Nov-16	21-Nov-16
 IAUR-13	DM21.Supv M&T Trn	Submit Approved IAUR to INPO	16-Nov-16	16-Nov-16	18-Nov-16	21-Nov-16
 IAUR-14	DM21.Supv M&T Trn	Submit ATV Data to INPO	17-Nov-16	17-Nov-16	18-Nov-16	21-Nov-16
 IAUR-15	DM21.Supv M&T Trn	ATV Date	29-Nov-16	06-Dec-16	28-Nov-16	02-Dec-16
 IDSFID115	PSE-36.Yang-PSE ER	Load Work-In-Progress Equipment List into Database	14-Nov-16	14-Nov-16	14-Nov-16	14-Nov-16
 IDSMR1020	PSE-37.Sonnett-PSE PM/MR	MR Function Scoping and Component Mapping	14-Nov-16	16-Nov-16	14-Nov-16	06-Dec-16
 IDSMR1030	E65.Tampas-PRA	Provide System PRA Data	06-Dec-16	13-Dec-16	28-Nov-16	05-Dec-16
 IDSMR1220	PSE-37.Sonnett-PSE PM/MR	SCE&G MR Safety Significance Determination	17-Nov-16	17-Nov-16	07-Dec-16	07-Dec-16
 INPO ATV-jun	TO.Trn Ops	INPO ATV	28-Nov-16	09-Dec-16	28-Nov-16	09-Dec-16
 LATT-1084	PSE34.FP-PSE	Retain Portable Pump with Adequate Fuel Capacity	01-Nov-16	07-Nov-16	01-Dec-16	07-Dec-16
 LATT-1086	PSE34.FP-PSE	Fire Protection System Strategy: Post Event	01-Nov-16	14-Nov-16	01-Dec-16	14-Dec-16
 LOR-1506	TO.Trn Ops	LOR-15-06	01-Nov-16	12-Dec-16	01-Dec-16	19-Jan-17
 LOR-Exam 1507 dev	TO.Trn Ops	LOR-Exam dev 15-07	09-Nov-16	12-Dec-16	09-Dec-16	19-Jan-17
 MechdevT2-2340	TMI.Mech Trn Instructor	Draft - SC-MM-218-L2	01-Nov-16	11-Nov-16	01-Mar-17	24-Mar-17
 MechdevT2-2400	TMI.Mech Trn Instructor	Final Draft - SC-MM-218-L2	15-Nov-16	16-Nov-16	28-Mar-17	29-Mar-17
 MechdevT2-5040	TMI.Mech Trn Instructor	Draft - SC-MM-223-C	01-Nov-16	11-Nov-16	09-Jan-17	30-Jan-17
 MechdevT2-5050	TMI.Mech Trn Instructor	Final Draft - SC-MM-223-C	15-Nov-16	16-Nov-16	02-Feb-17	02-Feb-17
 MechdevT2-5790	TMI.Mech Trn Instructor	Draft - SC-MM-221-C2	01-Nov-16	11-Nov-16	09-Jan-17	30-Jan-17
 MechdevT2-5810	TMI.Mech Trn Instructor	Final Draft - SC-MM-221-C2	15-Nov-16	16-Nov-16	02-Feb-17	02-Feb-17
 MechdevT2-5880	TMI.Mech Trn Instructor	Draft - SC-MM-221-C1	01-Nov-16	11-Nov-16	09-Jan-17	30-Jan-17
 MechdevT2-5890	TMI.Mech Trn Instructor	Final Draft - SC-MM-221-C1	15-Nov-16	16-Nov-16	02-Feb-17	02-Feb-17
 MechrevT2-8009	TMI.Mech Trn Instructor	SC-MM- class -221-C4 Vacuum Relef Valves - Rev Material	01-Nov-16	03-Nov-16	14-Nov-16	15-Nov-16
 MechrevT2-8010	TMI.Mech Trn Instructor	SC-MM- class -221-C5 Reach Rod Maintenance - Rev Material	04-Nov-16	08-Nov-16	14-Nov-16	15-Nov-16
 MechrevT2-8011	TMI.Mech Trn Instructor	SC-MM-228-C Gauge Glass Maintenance - Rev Material	09-Nov-16	11-Nov-16	14-Nov-16	15-Nov-16
 MechrevT2-8012	TMI.Mech Trn Instructor	SC-MM-228-L Gauge Glass Maintenance - Rev Material	14-Nov-16	16-Nov-16	14-Nov-16	15-Nov-16
 MechRevT2-9004	TMD.Mech Trn Development	SC-MM-203-001 - Perform Laser Alignment - T&Q Guide Revision	23-Jan-17	25-Jan-17	21-Nov-16	23-Nov-16
 MechRevT2-9011	TMD.Mech Trn Development	SC-MM-218-001 - Conduct External Pump Inspection - T&Q Guide Revision	17-Feb-17	22-Feb-17	14-Nov-16	15-Nov-16
 MechRevT2-9012	TMD.Mech Trn Development	SC-MM-218-002 - Repair Centrifigal Pump - T&Q Guide Revision	22-Feb-17	27-Feb-17	14-Nov-16	15-Nov-16
 MechTier2902a	MMC.Mech craft	SC-MM-221-002 Repair Butterfly Valve and Plug Valve - OJT	21-Nov-16	06-Dec-16	18-Nov-16	05-Dec-16
 MechTier2903a	MMC.Mech craft	SC-MM-221-003 Repair Check Valve-OJT	31-Oct-16	11-Nov-16	01-Nov-16	10-Nov-16
 MechTier2T901a	MMC.Mech craft	SC-MM-221-001 Repair Globe Valve- TPE	24-Oct-16	04-Nov-16	24-Oct-16	04-Nov-16
 MechTier2T903a	MMC.Mech craft	SC-MM-221-003 Repair Check Valve-TPE	14-Nov-16	23-Nov-16	11-Nov-16	22-Nov-16
 MechTrnT2D-D	TMI.Mech Trn Instructor	Tier 2D -B discipline (class 2) Mech Training Implement	14-Nov-16	02-Dec-16	14-Nov-16	13-Dec-16
 MechtrnT2D-DR	TMI.Mech Trn Instructor	Tier 2D -B discipline (class 2) Mech Training Implement - Remediation	05-Mar-18	09-Mar-18	14-Nov-16	13-Dec-16
 MES0543-0006	DE03.Hughes-DE	MET Tower Equipment Tags Determination	20-Sep-16	18-Nov-16	20-Sep-16	29-Nov-16
 misc 3	O1.OPs	Validate simulator use of Conduct of Test Procedures	01-Nov-16	14-Dec-16	01-Dec-16	04-Jan-17
 MMPA 10-2016	DE03.Hughes-DE	Update PA Operational Dashboard-October 2016	03-Oct-16	02-Nov-16	03-Oct-16	31-Oct-16
 MMPA 11-2016	DE03.Hughes-DE	Update PA Operational Dashboard-November 2016	03-Nov-16	02-Dec-16	01-Nov-16	02-Dec-16
 MOVEXP210	PSE16.Felch-PSE	MOV Expert Panel: Expert Panel Challenge Meeting (VCS + Vogtle)	16-Nov-16	16-Nov-16	16-Nov-16	16-Nov-16
 MOVEXP211	PSE16.Felch-PSE	MOV Expert Panel: Expert Panel Challenge Meeting Complete (VCS + Vogtle)	16-Nov-16	16-Nov-16	16-Nov-16	16-Nov-16
 MSI-058b	MIP.IC proc	SETUP OF MAINTENANCE WORK AREAS - Rev00 - Draft	03-Oct-16	29-Nov-16	03-Oct-16	29-Nov-16
 MSI-058c01	MIP.IC proc	SETUP OF MAINTENANCE WORK AREAS - Rev00 - Review	30-Nov-16	30-Dec-16	30-Nov-16	30-Dec-16
 MTSMR1030	E67.Sajjad-PRA	Provide System PRA Data	26-Oct-16	07-Nov-16	26-Oct-16	08-Nov-16
 MTSMR1220	PSE-37.Sonnett-PSE PM/MR	SCE&G MR Safety Significance Determination	26-Oct-16	10-Nov-16	11-Nov-16	17-Nov-16
 MTSMR1230	PSE-37.Sonnett-PSE PM/MR	SCE&G MR  Expert Panel Review	17-Nov-16	23-Nov-16	21-Nov-16	02-Dec-16
 MTSMR1290	PSE-37.Sonnett-PSE PM/MR	SCE&G  MR Expert Panel Meeting	28-Nov-16	28-Nov-16	05-Dec-16	05-Dec-16
 MTSMR1330	PSE-37.Sonnett-PSE PM/MR	MR Performance Criteria Expert Panel Comment Resolution	29-Nov-16	05-Dec-16	14-Dec-16	20-Dec-16
 MTSMR1420	PSE-37.Sonnett-PSE PM/MR	SCE&G MR Perf. Criteria Development	11-Nov-16	16-Nov-16	16-Nov-16	18-Nov-16
 NCSMR1020	PSE-37.Sonnett-PSE PM/MR	MR Function Scoping and Component Mapping	28-Nov-16	30-Nov-16	01-Dec-16	05-Dec-16
 NERC NUC-001	PSE05.Simmons. C-PSE	Track Approval of the NERC NUC-001 Comp Doc by Transmission			22-Nov-16	30-Jan-17
 NLO-1601-B	TO.Trn Ops	NLO-16-01 - SYSTEMS TRAINING	31-May-16	01-Nov-16	31-May-16	01-Sep-16
 NLO-1601-C	TO.Trn Ops	NLO-16-01 - ADMIN	02-Nov-16	15-Nov-16	01-Sep-16	02-Sep-16
 NLOR-1602	TO.Trn Ops	NLOR-1602	20-May-16	07-Nov-16	20-May-16	07-Dec-16
 NLOR-1603	TO.Trn Ops	NLOR-1603	08-Nov-16	03-Jan-17	08-Dec-16	26-Jan-17
 NND-AP-1000a	PSE21.Troficanto-PSE	Preservice Inspection Oversight Procedure -Rev01- Preparation	01-Nov-16	01-Nov-16	01-Nov-16	01-Nov-16
 NND-AP-1000b	PSE21.Troficanto-PSE	Preservice Inspection Oversight Procedure -Rev01- Draft	02-Nov-16	08-Nov-16	02-Nov-16	08-Nov-16
 NND-AP-1000c01	PSE21.Troficanto-PSE	Preservice Inspection Oversight Procedure -Rev01- Review	09-Nov-16	01-Dec-16	09-Nov-16	01-Dec-16
 NND-AP-1000CX	DE06.Watkins-DE	Preservice Inspection Oversight Procedure -Rev01- C-QR	09-Nov-16	01-Dec-16	11-Nov-16	05-Dec-16
 NND-AP-1000CY	PSE21.Troficanto-PSE	Preservice Inspection Oversight Procedure -Rev01- C-5059	09-Nov-16	01-Dec-16	09-Nov-16	01-Dec-16
 NND-AP-1000CZ	PSE21.Troficanto-PSE	Preservice Inspection Oversight Procedure -Rev01- C-Res2	09-Nov-16	10-Nov-16	06-Dec-16	06-Dec-16
 NND-AP-1002d	DM16.DM Eng-PSE (Sterdis)	Construction Era Fire Protection Program NND-AP-1002 - Approval	02-Nov-16	08-Nov-16	02-Nov-16	22-Nov-16
 NND-AP-1002e	PSE08.Earnest-PSE	Construction Era Fire Protection Program NND-AP-1002- Validate	09-Nov-16	15-Nov-16	30-Nov-16	30-Nov-16
 NND-ES-0011e	PSE29.McLellan-PSE	SCE&G and SNC Collaboration Process - Rev00 - Validate	01-Nov-16	07-Nov-16	09-Nov-16	09-Nov-16
 NND-OR-0201d	DE99.Lewis-DE	Operational Readiness Information Turnover - Rev00 - Approval	18-Oct-16	02-Nov-16	18-Oct-16	02-Nov-16
 NND-OR-0203CY	DE99.Lewis-DE	Information Turnover Document Review - Rev00 - C-5059	17-Oct-16	03-Nov-16	17-Oct-16	03-Nov-16
 NND-OR-0203CZ	DE99.Lewis-DE	Information Turnover Document Review - Rev00 - C-Res2	04-Nov-16	14-Nov-16	04-Nov-16	14-Nov-16
 NND-OR-0203d	DE99.Lewis-DE	Information Turnover Document Review - Rev00 - Approval	15-Nov-16	30-Nov-16	15-Nov-16	30-Nov-16
 NND-OR-0205b	E61.Bennett	Turnover & Acceptance Readiness Verification - Rev00 - Draft	11-Jul-16	01-Nov-16	11-Jul-16	01-Dec-16
 NND-OR-0205c	E61.Bennett	Turnover & Acceptance Readiness Verification - Rev00 - Review	02-Nov-16	02-Dec-16	02-Dec-16	04-Jan-17
 NNDAP1002GT	PSE08.Earnest-PSE	Training Gap Analysis for Construction Era Fire Protection Program NND-AP-1002	02-Nov-16	08-Nov-16	28-Nov-16	30-Nov-16
 NPS NRC inspect	N1.NPS	NRC Inspection for SNM Receipt using NRC Inspection Procedure 81000.11, Material Control and Accounting (MCA)	14-Nov-16	05-Dec-16	17-Jan-17	25-Jan-17
 OCSMR1230	PSE-37.Sonnett-PSE PM/MR	SCE&G MR  Expert Panel Review	08-Nov-16	14-Nov-16	11-Nov-16	07-Dec-16
 OCSMR1290	PSE-37.Sonnett-PSE PM/MR	SCE&G  MR Expert Panel Meeting	15-Nov-16	15-Nov-16	08-Dec-16	08-Dec-16
 OCSMR1330	PSE-37.Sonnett-PSE PM/MR	MR Performance Criteria Expert Panel Comment Resolution	16-Nov-16	22-Nov-16	09-Dec-16	15-Dec-16
 ODP-02	J1.OD&P	Finalize composition of oversight bodies for Units 2 & 3 to include CARB, MRT, SARB, CRRT, NSCMP, SLT and HUAC	20-Oct-16	07-Nov-16	20-Oct-16	07-Dec-16
 ODP-03	J1.OD&P	Determine groups and users in Units 2 & 3 CMMS Condition Reporting module	20-Oct-16	07-Nov-16	20-Oct-16	07-Dec-16
 OPSASSIST01	TO.Trn Ops	Validation #1: VC Summer 4 NRC Operating Exam	01-Nov-16	07-Nov-16	23-Nov-16	28-Dec-16
 OPSASSIST02	TO.Trn Ops	Validation #1: VC Summer 4 AUDIT Operating Exam	14-Nov-16	18-Nov-16	28-Nov-16	29-Nov-16
 PDAR 12-0028 E	IST.IST	Equipment Reliability Work Management (ERMS), Customer Testing/Acceptance	01-Apr-16	30-Nov-16	01-Apr-16	01-Nov-16
 PSE Open Item 00X	PSE20.Post-PSE	Determine appropriate owners of Fuel Handling procedures (FHP, STP, FHS)	01-Nov-16	09-Jan-17	04-Nov-16	12-Jan-17
 QA440	QA.Quality Assurance	Assign QA requirements to department managers	01-Nov-16	01-Nov-16	01-Dec-16	01-Dec-16
 RWSFEG1010	PSE-34.Dao-PSE FEG	FEG Data Table and Drawing Development	21-Nov-16	06-Dec-16	21-Nov-16	06-Dec-16
 RWSFID115	PSE-36.Yang-PSE ER	Load Work-In-Progress Equipment List into Database	21-Nov-16	21-Nov-16	29-Nov-16	29-Nov-16
 RWSFID130	PSE-36.Yang-PSE ER	SCE&G Component Classification	22-Nov-16	10-Feb-17	30-Nov-16	25-Jan-17
 RWSMR1030	E67.Sajjad-PRA	Provide System PRA Data	21-Nov-16	30-Nov-16	01-Dec-16	08-Dec-16
 SA16-NND-DE-02S	DM15.DM Eng-DE (Taylor)	Self-Assessment: Unit 2/3 Impacts to Unit 1 evaluation process (NND-AP-0029)	01-Nov-16	13-Dec-16	01-Nov-16	01-Dec-16
 SA16-NND-NL-01	NL04.NL-Diane	Self-Assessment: FSAR Management / Change Process	03-Oct-16	07-Nov-16	03-Oct-16	07-Nov-16
 SA16-NND-NPS-01S	N1.NPS	Radioactive Material Control - Snap Shot Self Assessment	01-Nov-16	03-Nov-16	11-Nov-16	15-Nov-16
 SA16-NND-OD-03S	DM03.DM OD&P	Self-Assessment: HU Program	01-Nov-16	16-Dec-16	04-Nov-16	30-Nov-16
 SA16-NND-OPS-01	O1.OPs	Self-Assessment: Corrective Action Program -Formal (every 3 years)	01-Nov-16	06-Dec-16	01-Dec-16	06-Jan-17
 SA16-NND-OPS-02S	O1.OPs	Self-Assessment: Functional Area Transition Plan - (FAT-P) - Snapshot (Annually)	01-Nov-16	02-Dec-16	01-Dec-16	04-Jan-17
 SA16-NND-OPS-03	O1.OPs	Self-Assessment: Neil Fire Inspection - Formal (Annually)	01-Nov-16	01-Dec-16	01-Dec-16	03-Jan-17
 SA16-NND-ORENG-01	DM16.DM Eng-PSE (Sterdis)	Self-Assessment: Engineering Programs Required for System Turnover	14-Oct-16	15-Nov-16	14-Oct-16	15-Nov-16
 SA16-NND-ORENG-01S	DM16.DM Eng-PSE (Sterdis)	Self-Assessment: Switchyard Oversight	01-Nov-16	20-Dec-16	01-Dec-16	20-Jan-17
 SA16-NND-ORENG-03c	PSE21.Troficanto-PSE	PSI Snapshot Assessment - Assessment Report Approval	20-Oct-16	03-Nov-16	20-Oct-16	03-Nov-16
 SAP-0603b	PSE35.Reed-PSE	Control Room Envelope Habitability Program - Rev00 - Draft	19-Oct-16	08-Nov-16	19-Oct-16	08-Nov-16
 SAP-0603c01	PSE35.Reed-PSE	Control Room Envelope Habitability Program - Rev00 - Review	09-Nov-16	09-Dec-16	18-Nov-16	21-Nov-16
 SAP-0603CX	PSE16.Felch-PSE	Control Room Envelope Habitability Program - Rev00 - C-QR	09-Nov-16	30-Nov-16	21-Nov-16	14-Dec-16
 SAP-0603CY	PSE16.Felch-PSE	Control Room Envelope Habitability Program - Rev00 - C-5059	09-Nov-16	30-Nov-16	23-Nov-16	14-Dec-16
 SAP-1002e	TO.Trn Ops	Statement of Responsibilities Nuclear Training - Rev00 - Validate	01-May-17	05-May-17	30-Nov-16	06-Dec-16
 STA / SS -1601	TO.Trn Ops	STA / SS1601	01-Nov-16	28-Nov-16	13-Mar-17	31-Mar-17
 TMW-B-200-01	PSE02.Shank-PSE	PSE Administration and Indoctrination (qualification)	03-Oct-16	31-Oct-16	17-Nov-16	28-Nov-16
 TMW-B-200-03 devD	TG.Trn Eng	Engineering Change Process - Rev 01 - PLI review	01-Nov-16	14-Nov-16	01-Dec-16	14-Dec-16
 TMW-B-200-03 devE	DM15.DM Eng-DE (Taylor)	Engineering Change Process - Rev 01 - DM approval	15-Nov-16	16-Nov-16	15-Dec-16	16-Dec-16
 TMW-B-200-05 devD	TG.Trn Eng	Drawing Control - PLI review	17-Nov-16	02-Dec-16	01-Dec-16	14-Dec-16
 TMW-B-200-06 devD	TG.Trn Eng	Database Control - Rev 01- PLI review	21-Nov-16	06-Dec-16	01-Dec-16	14-Dec-16
 TMW-B-200-11 devB	PSE5.Himel-SupvPSE	Environmental Equipment Qualification (Introductory) - Rev 01- discipline review (for training use only)	26-Oct-16	07-Nov-16	26-Oct-16	14-Nov-16
 TMW-B-200-11 devC01	PSE22.Garrett-PSE	Environmental Equipment Qualification (Introductory) - Rev 01- impacted group review (for training use only)	08-Nov-16	18-Nov-16	08-Nov-16	17-Nov-16
 TMW-B-200-11 devD	TG.Trn Eng	Environmental Equipment Qualification (Introductory) - Rev 01- PLI review (for training use only)	21-Nov-16	05-Dec-16	01-Dec-16	13-Dec-16
 TMW-B-200-12 devD	TG.Trn Eng	Review and Verification - Rev 01 - PLI review	03-Nov-16	16-Nov-16	01-Dec-16	14-Dec-16
 TMW-B-200-12 devE	DM15.DM Eng-DE (Taylor)	Review and Verification - Rev 01 - DM approval	17-Nov-16	18-Nov-16	15-Dec-16	16-Dec-16
